   6.2890625e-01	   4.1015625e-01	   1.5625000e-01	
   6.3147978e-01	   4.1392463e-01	   1.6084559e-01	
   6.3405331e-01	   4.1769301e-01	   1.6544118e-01	
   6.3662684e-01	   4.2146140e-01	   1.7003676e-01	
   6.3920037e-01	   4.2522978e-01	   1.7463235e-01	
   6.4177390e-01	   4.2899816e-01	   1.7922794e-01	
   6.4434743e-01	   4.3276654e-01	   1.8382353e-01	
   6.4692096e-01	   4.3653493e-01	   1.8841912e-01	
   6.4949449e-01	   4.4030331e-01	   1.9301471e-01	
   6.5206801e-01	   4.4407169e-01	   1.9761029e-01	
   6.5464154e-01	   4.4784007e-01	   2.0220588e-01	
   6.5721507e-01	   4.5160846e-01	   2.0680147e-01	
   6.5978860e-01	   4.5537684e-01	   2.1139706e-01	
   6.6236213e-01	   4.5914522e-01	   2.1599265e-01	
   6.6493566e-01	   4.6291360e-01	   2.2058824e-01	
   6.6750919e-01	   4.6668199e-01	   2.2518382e-01	
   6.7008272e-01	   4.7045037e-01	   2.2977941e-01	
   6.7265625e-01	   4.7421875e-01	   2.3437500e-01	
   6.7522978e-01	   4.7798713e-01	   2.3897059e-01	
   6.7780331e-01	   4.8175551e-01	   2.4356618e-01	
   6.8037684e-01	   4.8552390e-01	   2.4816176e-01	
   6.8295037e-01	   4.8929228e-01	   2.5275735e-01	
   6.8552390e-01	   4.9306066e-01	   2.5735294e-01	
   6.8809743e-01	   4.9682904e-01	   2.6194853e-01	
   6.9067096e-01	   5.0059743e-01	   2.6654412e-01	
   6.9324449e-01	   5.0436581e-01	   2.7113971e-01	
   6.9581801e-01	   5.0813419e-01	   2.7573529e-01	
   6.9839154e-01	   5.1190257e-01	   2.8033088e-01	
   7.0096507e-01	   5.1567096e-01	   2.8492647e-01	
   7.0353860e-01	   5.1943934e-01	   2.8952206e-01	
   7.0611213e-01	   5.2320772e-01	   2.9411765e-01	
   7.0868566e-01	   5.2697610e-01	   2.9871324e-01	
   7.1125919e-01	   5.3074449e-01	   3.0330882e-01	
   7.1383272e-01	   5.3451287e-01	   3.0790441e-01	
   7.1640625e-01	   5.3828125e-01	   3.1250000e-01	
   7.1897978e-01	   5.4204963e-01	   3.1709559e-01	
   7.2155331e-01	   5.4581801e-01	   3.2169118e-01	
   7.2412684e-01	   5.4958640e-01	   3.2628676e-01	
